dzien,data,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
276,2027-05-13,Ezd 6-7,,Syr 27,Ps 123,,1 J 1,12181,https://biblia.deon.pl/otworz.php?skrot=Ezd%206 https://biblia.deon.pl/otworz.php?skrot=Ezd%207 https://biblia.deon.pl/otworz.php?skrot=Syr%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%20123 https://biblia.deon.pl/otworz.php?skrot=1%20J%201
277,2027-05-14,Ezd 8-9,,,,Dz 5,,12479,https://biblia.deon.pl/otworz.php?skrot=Ezd%208 https://biblia.deon.pl/otworz.php?skrot=Ezd%209 https://biblia.deon.pl/otworz.php?skrot=Dz%205
278,2027-05-15,Ezd 10,,Syr 28,,Dz 6,1 J 2,13042,https://biblia.deon.pl/otworz.php?skrot=Ezd%2010 https://biblia.deon.pl/otworz.php?skrot=Syr%2028 https://biblia.deon.pl/otworz.php?skrot=Dz%206 https://biblia.deon.pl/otworz.php?skrot=1%20J%202
279,2027-05-16,Ne 1-2,Dn 13,,,,,12275,https://biblia.deon.pl/otworz.php?skrot=Ne%201 https://biblia.deon.pl/otworz.php?skrot=Ne%202 https://biblia.deon.pl/otworz.php?skrot=Dn%2013
280,2027-05-17,Ne 3-4,Dn 14,,Ps 124,,,12807,https://biblia.deon.pl/otworz.php?skrot=Ne%203 https://biblia.deon.pl/otworz.php?skrot=Ne%204 https://biblia.deon.pl/otworz.php?skrot=Dn%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%20124
281,2027-05-18,Ne 5-6,Oz 1,Syr 29,,,1 J 3,12733,https://biblia.deon.pl/otworz.php?skrot=Ne%205 https://biblia.deon.pl/otworz.php?skrot=Ne%206 https://biblia.deon.pl/otworz.php?skrot=Oz%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2029 https://biblia.deon.pl/otworz.php?skrot=1%20J%203
282,2027-05-19,Ne 7,,,,Dz 7,,12767,https://biblia.deon.pl/otworz.php?skrot=Ne%207 https://biblia.deon.pl/otworz.php?skrot=Dz%207
283,2027-05-20,Ne 8,Oz 2-3,,Ps 125,,1 J 4,10060,https://biblia.deon.pl/otworz.php?skrot=Ne%208 https://biblia.deon.pl/otworz.php?skrot=Oz%202 https://biblia.deon.pl/otworz.php?skrot=Oz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%20125 https://biblia.deon.pl/otworz.php?skrot=1%20J%204
284,2027-05-21,Ne 9,Oz 4,Syr 30,Ps 126,,,11551,https://biblia.deon.pl/otworz.php?skrot=Ne%209 https://biblia.deon.pl/otworz.php?skrot=Oz%204 https://biblia.deon.pl/otworz.php?skrot=Syr%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%20126
285,2027-05-22,Ne 10-11,Oz 5-6,,,,1 J 5,12899,https://biblia.deon.pl/otworz.php?skrot=Ne%2010 https://biblia.deon.pl/otworz.php?skrot=Ne%2011 https://biblia.deon.pl/otworz.php?skrot=Oz%205 https://biblia.deon.pl/otworz.php?skrot=Oz%206 https://biblia.deon.pl/otworz.php?skrot=1%20J%205
286,2027-05-23,Ne 12,,Syr 31,,Dz 8,,12645,https://biblia.deon.pl/otworz.php?skrot=Ne%2012 https://biblia.deon.pl/otworz.php?skrot=Syr%2031 https://biblia.deon.pl/otworz.php?skrot=Dz%208
287,2027-05-24,Ne 13,Oz 7-9,,,,2 J 1,12381,https://biblia.deon.pl/otworz.php?skrot=Ne%2013 https://biblia.deon.pl/otworz.php?skrot=Oz%207 https://biblia.deon.pl/otworz.php?skrot=Oz%208 https://biblia.deon.pl/otworz.php?skrot=Oz%209 https://biblia.deon.pl/otworz.php?skrot=2%20J%201
288,2027-05-25,Tb 1,,,Ps 127,Dz 9,3 J 1,11288,https://biblia.deon.pl/otworz.php?skrot=Tb%201 https://biblia.deon.pl/otworz.php?skrot=Ps%20127 https://biblia.deon.pl/otworz.php?skrot=Dz%209 https://biblia.deon.pl/otworz.php?skrot=3%20J%201
289,2027-05-26,Tb 2-3,Oz 10-11,Syr 32,Ps 128,,,12463,https://biblia.deon.pl/otworz.php?skrot=Tb%202 https://biblia.deon.pl/otworz.php?skrot=Tb%203 https://biblia.deon.pl/otworz.php?skrot=Oz%2010 https://biblia.deon.pl/otworz.php?skrot=Oz%2011 https://biblia.deon.pl/otworz.php?skrot=Syr%2032 https://biblia.deon.pl/otworz.php?skrot=Ps%20128
290,2027-05-27,Tb 4-5,Oz 12-13,,,,,12217,https://biblia.deon.pl/otworz.php?skrot=Tb%204 https://biblia.deon.pl/otworz.php?skrot=Tb%205 https://biblia.deon.pl/otworz.php?skrot=Oz%2012 https://biblia.deon.pl/otworz.php?skrot=Oz%2013
291,2027-05-28,Tb 6-7,Oz 14,,Ps 129,,Jud 1,12694,https://biblia.deon.pl/otworz.php?skrot=Tb%206 https://biblia.deon.pl/otworz.php?skrot=Tb%207 https://biblia.deon.pl/otworz.php?skrot=Oz%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%20129 https://biblia.deon.pl/otworz.php?skrot=Jud%201
292,2027-05-29,Tb 8,Jl 1,Syr 33,,Dz 10,,13629,https://biblia.deon.pl/otworz.php?skrot=Tb%208 https://biblia.deon.pl/otworz.php?skrot=Jl%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2033 https://biblia.deon.pl/otworz.php?skrot=Dz%2010
293,2027-05-30,Tb 9-12,Jl 2,,,,,13686,https://biblia.deon.pl/otworz.php?skrot=Tb%209 https://biblia.deon.pl/otworz.php?skrot=Tb%2010 https://biblia.deon.pl/otworz.php?skrot=Tb%2011 https://biblia.deon.pl/otworz.php?skrot=Tb%2012 https://biblia.deon.pl/otworz.php?skrot=Jl%202
294,2027-05-31,Tb 13,Jl 3,Syr 34,Ps 130,Dz 11,Ap 1,12892,https://biblia.deon.pl/otworz.php?skrot=Tb%2013 https://biblia.deon.pl/otworz.php?skrot=Jl%203 https://biblia.deon.pl/otworz.php?skrot=Syr%2034 https://biblia.deon.pl/otworz.php?skrot=Ps%20130 https://biblia.deon.pl/otworz.php?skrot=Dz%2011 https://biblia.deon.pl/otworz.php?skrot=Ap%201
295,2027-06-01,Tb 14; Jdt 1-2,Jl 4,,,,,13192,https://biblia.deon.pl/otworz.php?skrot=Tb%2014 https://biblia.deon.pl/otworz.php?skrot=Jdt%201 https://biblia.deon.pl/otworz.php?skrot=Jdt%202 https://biblia.deon.pl/otworz.php?skrot=Jl%204
296,2027-06-02,Jdt 3,Am 1,Syr 35,,Dz 12,Ap 2,12173,https://biblia.deon.pl/otworz.php?skrot=Jdt%203 https://biblia.deon.pl/otworz.php?skrot=Am%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2035 https://biblia.deon.pl/otworz.php?skrot=Dz%2012 https://biblia.deon.pl/otworz.php?skrot=Ap%202
297,2027-06-03,Jdt 4-6,Am 2,,Ps 131,,,11338,https://biblia.deon.pl/otworz.php?skrot=Jdt%204 https://biblia.deon.pl/otworz.php?skrot=Jdt%205 https://biblia.deon.pl/otworz.php?skrot=Jdt%206 https://biblia.deon.pl/otworz.php?skrot=Am%202 https://biblia.deon.pl/otworz.php?skrot=Ps%20131
298,2027-06-04,Jdt 7,Am 3-4,Syr 36,Ps 132,,,12646,https://biblia.deon.pl/otworz.php?skrot=Jdt%207 https://biblia.deon.pl/otworz.php?skrot=Am%203 https://biblia.deon.pl/otworz.php?skrot=Am%204 https://biblia.deon.pl/otworz.php?skrot=Syr%2036 https://biblia.deon.pl/otworz.php?skrot=Ps%20132
299,2027-06-05,Jdt 8,,,Ps 133,Dz 13,,11839,https://biblia.deon.pl/otworz.php?skrot=Jdt%208 https://biblia.deon.pl/otworz.php?skrot=Ps%20133 https://biblia.deon.pl/otworz.php?skrot=Dz%2013
300,2027-06-06,Jdt 9-10,Am 5,,,,Ap 3,12535,https://biblia.deon.pl/otworz.php?skrot=Jdt%209 https://biblia.deon.pl/otworz.php?skrot=Jdt%2010 https://biblia.deon.pl/otworz.php?skrot=Am%205 https://biblia.deon.pl/otworz.php?skrot=Ap%203
301,2027-06-07,Jdt 11,Am 6,Syr 37,,,Ap 4,10790,https://biblia.deon.pl/otworz.php?skrot=Jdt%2011 https://biblia.deon.pl/otworz.php?skrot=Am%206 https://biblia.deon.pl/otworz.php?skrot=Syr%2037 https://biblia.deon.pl/otworz.php?skrot=Ap%204
302,2027-06-08,Jdt 12-13,,,Ps 134,Dz 14,,9870,https://biblia.deon.pl/otworz.php?skrot=Jdt%2012 https://biblia.deon.pl/otworz.php?skrot=Jdt%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%20134 https://biblia.deon.pl/otworz.php?skrot=Dz%2014
303,2027-06-09,Jdt 14,Am 7-9,,,,Ap 5,11176,https://biblia.deon.pl/otworz.php?skrot=Jdt%2014 https://biblia.deon.pl/otworz.php?skrot=Am%207 https://biblia.deon.pl/otworz.php?skrot=Am%208 https://biblia.deon.pl/otworz.php?skrot=Am%209 https://biblia.deon.pl/otworz.php?skrot=Ap%205
304,2027-06-10,Jdt 15-16,Ab 1,Syr 38,,,,13122,https://biblia.deon.pl/otworz.php?skrot=Jdt%2015 https://biblia.deon.pl/otworz.php?skrot=Jdt%2016 https://biblia.deon.pl/otworz.php?skrot=Ab%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2038
305,2027-06-11,Est 1,,,Ps 135,Dz 15,Ap 6,11889,https://biblia.deon.pl/otworz.php?skrot=Est%201 https://biblia.deon.pl/otworz.php?skrot=Ps%20135 https://biblia.deon.pl/otworz.php?skrot=Dz%2015 https://biblia.deon.pl/otworz.php?skrot=Ap%206
306,2027-06-12,Est 2-3,Jon 1-2,,,,,11861,https://biblia.deon.pl/otworz.php?skrot=Est%202 https://biblia.deon.pl/otworz.php?skrot=Est%203 https://biblia.deon.pl/otworz.php?skrot=Jon%201 https://biblia.deon.pl/otworz.php?skrot=Jon%202
307,2027-06-13,Est 4-5,Jon 3,,Ps 136,,Ap 7,12935,https://biblia.deon.pl/otworz.php?skrot=Est%204 https://biblia.deon.pl/otworz.php?skrot=Est%205 https://biblia.deon.pl/otworz.php?skrot=Jon%203 https://biblia.deon.pl/otworz.php?skrot=Ps%20136 https://biblia.deon.pl/otworz.php?skrot=Ap%207
308,2027-06-14,Est 6,Jon 4,Syr 39,Ps 137,Dz 16,,13099,https://biblia.deon.pl/otworz.php?skrot=Est%206 https://biblia.deon.pl/otworz.php?skrot=Jon%204 https://biblia.deon.pl/otworz.php?skrot=Syr%2039 https://biblia.deon.pl/otworz.php?skrot=Ps%20137 https://biblia.deon.pl/otworz.php?skrot=Dz%2016
309,2027-06-15,Est 7-8,Mi 1-3,,,,Ap 8,12961,https://biblia.deon.pl/otworz.php?skrot=Est%207 https://biblia.deon.pl/otworz.php?skrot=Est%208 https://biblia.deon.pl/otworz.php?skrot=Mi%201 https://biblia.deon.pl/otworz.php?skrot=Mi%202 https://biblia.deon.pl/otworz.php?skrot=Mi%203 https://biblia.deon.pl/otworz.php?skrot=Ap%208
310,2027-06-16,Est 9-10,Mi 4,,Ps 138,Dz 17,,13333,https://biblia.deon.pl/otworz.php?skrot=Est%209 https://biblia.deon.pl/otworz.php?skrot=Est%2010 https://biblia.deon.pl/otworz.php?skrot=Mi%204 https://biblia.deon.pl/otworz.php?skrot=Ps%20138 https://biblia.deon.pl/otworz.php?skrot=Dz%2017
311,2027-06-17,1 Mch 1,,Syr 40,,,Ap 9-10,14755,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2040 https://biblia.deon.pl/otworz.php?skrot=Ap%209 https://biblia.deon.pl/otworz.php?skrot=Ap%2010
312,2027-06-18,1 Mch 2,Mi 5-6,,Ps 139,,,13862,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%202 https://biblia.deon.pl/otworz.php?skrot=Mi%205 https://biblia.deon.pl/otworz.php?skrot=Mi%206 https://biblia.deon.pl/otworz.php?skrot=Ps%20139
313,2027-06-19,1 Mch 3,,Syr 41,,Dz 18,,13595,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%203 https://biblia.deon.pl/otworz.php?skrot=Syr%2041 https://biblia.deon.pl/otworz.php?skrot=Dz%2018
314,2027-06-20,1 Mch 4,Mi 7; Na 1,,,,Ap 11,14172,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%204 https://biblia.deon.pl/otworz.php?skrot=Mi%207 https://biblia.deon.pl/otworz.php?skrot=Na%201 https://biblia.deon.pl/otworz.php?skrot=Ap%2011
315,2027-06-21,1 Mch 5,Na 2,,,Dz 19,,15678,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%205 https://biblia.deon.pl/otworz.php?skrot=Na%202 https://biblia.deon.pl/otworz.php?skrot=Dz%2019
316,2027-06-22,1 Mch 6,,Syr 42,,,Ap 12,13899,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%206 https://biblia.deon.pl/otworz.php?skrot=Syr%2042 https://biblia.deon.pl/otworz.php?skrot=Ap%2012
317,2027-06-23,1 Mch 7,Na 3; Ha 1-2,,Ps 140,,,14781,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%207 https://biblia.deon.pl/otworz.php?skrot=Na%203 https://biblia.deon.pl/otworz.php?skrot=Ha%201 https://biblia.deon.pl/otworz.php?skrot=Ha%202 https://biblia.deon.pl/otworz.php?skrot=Ps%20140
318,2027-06-24,1 Mch 8,Ha 3,Syr 43,,Dz 20,,14612,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%208 https://biblia.deon.pl/otworz.php?skrot=Ha%203 https://biblia.deon.pl/otworz.php?skrot=Syr%2043 https://biblia.deon.pl/otworz.php?skrot=Dz%2020
319,2027-06-25,1 Mch 9,So 1,,,,Ap 13,14370,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%209 https://biblia.deon.pl/otworz.php?skrot=So%201 https://biblia.deon.pl/otworz.php?skrot=Ap%2013
320,2027-06-26,1 Mch 10,,Syr 44,Ps 141,,,15330,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2010 https://biblia.deon.pl/otworz.php?skrot=Syr%2044 https://biblia.deon.pl/otworz.php?skrot=Ps%20141
321,2027-06-27,1 Mch 11,So 2,,,,Ap 14,15340,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2011 https://biblia.deon.pl/otworz.php?skrot=So%202 https://biblia.deon.pl/otworz.php?skrot=Ap%2014
322,2027-06-28,1 Mch 12,So 3,,,Dz 21,,14743,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2012 https://biblia.deon.pl/otworz.php?skrot=So%203 https://biblia.deon.pl/otworz.php?skrot=Dz%2021
323,2027-06-29,1 Mch 13,Ag 1,Syr 45,,,Ap 15,14145,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2013 https://biblia.deon.pl/otworz.php?skrot=Ag%201 https://biblia.deon.pl/otworz.php?skrot=Syr%2045 https://biblia.deon.pl/otworz.php?skrot=Ap%2015
324,2027-06-30,1 Mch 14,Ag 2,,Ps 142,Dz 22,,14838,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2014 https://biblia.deon.pl/otworz.php?skrot=Ag%202 https://biblia.deon.pl/otworz.php?skrot=Ps%20142 https://biblia.deon.pl/otworz.php?skrot=Dz%2022
325,2027-07-01,1 Mch 15-16,,,Ps 143,,Ap 16,12756,https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2015 https://biblia.deon.pl/otworz.php?skrot=1%20Mch%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%20143 https://biblia.deon.pl/otworz.php?skrot=Ap%2016
326,2027-07-02,2 Mch 1,Za 1-3,,Ps 144,,,12273,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%201 https://biblia.deon.pl/otworz.php?skrot=Za%201 https://biblia.deon.pl/otworz.php?skrot=Za%202 https://biblia.deon.pl/otworz.php?skrot=Za%203 https://biblia.deon.pl/otworz.php?skrot=Ps%20144
327,2027-07-03,2 Mch 2,,Syr 46,,Dz 23,Ap 17,14073,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%202 https://biblia.deon.pl/otworz.php?skrot=Syr%2046 https://biblia.deon.pl/otworz.php?skrot=Dz%2023 https://biblia.deon.pl/otworz.php?skrot=Ap%2017
328,2027-07-04,2 Mch 3,Za 4-5,Syr 47,Ps 145,,,13610,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%203 https://biblia.deon.pl/otworz.php?skrot=Za%204 https://biblia.deon.pl/otworz.php?skrot=Za%205 https://biblia.deon.pl/otworz.php?skrot=Syr%2047 https://biblia.deon.pl/otworz.php?skrot=Ps%20145
329,2027-07-05,2 Mch 4,Za 6,,,,Ap 18,13345,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%204 https://biblia.deon.pl/otworz.php?skrot=Za%206 https://biblia.deon.pl/otworz.php?skrot=Ap%2018
330,2027-07-06,2 Mch 5,Za 7-8,,,Dz 24,,12422,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%205 https://biblia.deon.pl/otworz.php?skrot=Za%207 https://biblia.deon.pl/otworz.php?skrot=Za%208 https://biblia.deon.pl/otworz.php?skrot=Dz%2024
331,2027-07-07,2 Mch 6,Za 9,,Ps 146,Dz 25,,11777,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%206 https://biblia.deon.pl/otworz.php?skrot=Za%209 https://biblia.deon.pl/otworz.php?skrot=Ps%20146 https://biblia.deon.pl/otworz.php?skrot=Dz%2025
332,2027-07-08,2 Mch 7,,Syr 48,Ps 147,,Ap 19,12952,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%207 https://biblia.deon.pl/otworz.php?skrot=Syr%2048 https://biblia.deon.pl/otworz.php?skrot=Ps%20147 https://biblia.deon.pl/otworz.php?skrot=Ap%2019
333,2027-07-09,2 Mch 8,Za 10-12,,,,,12433,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%208 https://biblia.deon.pl/otworz.php?skrot=Za%2010 https://biblia.deon.pl/otworz.php?skrot=Za%2011 https://biblia.deon.pl/otworz.php?skrot=Za%2012
334,2027-07-10,2 Mch 9,,Syr 49,,Dz 26,Ap 20,12804,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%209 https://biblia.deon.pl/otworz.php?skrot=Syr%2049 https://biblia.deon.pl/otworz.php?skrot=Dz%2026 https://biblia.deon.pl/otworz.php?skrot=Ap%2020
335,2027-07-11,2 Mch 10,Za 13-14,,Ps 148,,,11855,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2010 https://biblia.deon.pl/otworz.php?skrot=Za%2013 https://biblia.deon.pl/otworz.php?skrot=Za%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%20148
336,2027-07-12,2 Mch 11,,Syr 50,,Dz 27,,13261,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2011 https://biblia.deon.pl/otworz.php?skrot=Syr%2050 https://biblia.deon.pl/otworz.php?skrot=Dz%2027
337,2027-07-13,2 Mch 12,,,Ps 149,,Ap 21,11684,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%20149 https://biblia.deon.pl/otworz.php?skrot=Ap%2021
338,2027-07-14,2 Mch 13,Ml 1-2,Syr 51,,,,12463,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2013 https://biblia.deon.pl/otworz.php?skrot=Ml%201 https://biblia.deon.pl/otworz.php?skrot=Ml%202 https://biblia.deon.pl/otworz.php?skrot=Syr%2051
339,2027-07-15,2 Mch 14,,,Ps 150,Dz 28,,11299,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%20150 https://biblia.deon.pl/otworz.php?skrot=Dz%2028
340,2027-07-16,2 Mch 15,Ml 3,,,,Ap 22,12512,https://biblia.deon.pl/otworz.php?skrot=2%20Mch%2015 https://biblia.deon.pl/otworz.php?skrot=Ml%203 https://biblia.deon.pl/otworz.php?skrot=Ap%2022
